PERCENTAGE,WITH,THROUGHPUT
86,86,7.438258772824818
86,87,5.238968117662549
86,88,3.9121784290592867
86,89,3.1811452366725677
86,89,2.7271174824110784
87,86,4.895994508826089
87,87,3.8360377464045636
87,88,3.0729478553641782
87,89,2.6030796604865425
87,89,2.2909729366968516
88,86,3.500010931496642
88,87,2.922691164200178
88,88,2.457695746042833
88,89,2.1476506696991837
88,89,1.9306491201443008
89,86,2.834433033220655
89,87,2.443544115260665
89,88,2.1098095686367886
89,89,1.8771700213976013
89,89,1.709249631947945
89,86,2.3789770426567687
89,87,2.097377274382809
89,88,1.846651401218876
89,89,1.6659424271261194
89,89,1.53234116241974
