PERCENTAGE,WITH,THROUGHPUT
86,86,7.244284285714286
86,87,5.2125661224489805
86,88,3.9163732653061225
86,89,3.2661265306122456
86,89,2.9660604081632655
87,86,4.919695510204082
87,87,3.784952857142857
87,88,3.0556179591836736
87,89,2.5713320408163263
87,89,2.4968022448979594
88,86,3.560204897959183
88,87,2.8633214285714286
88,88,2.469708367346939
88,89,2.2565220408163267
88,89,1.9802269387755103
89,86,2.880128571428571
89,87,2.508138367346939
89,88,2.0890959183673465
89,89,1.8621697959183676
89,89,1.7682287755102037
89,86,2.4577979591836736
89,87,2.0809024489795918
89,88,1.7902500000000001
89,89,1.5868134693877551
89,89,1.4739482040816323
