PERCENTAGE,WITH,THROUGHPUT
3,3,30.14058775510204
3,9,29.380300000000002
3,20,26.98305714285714
3,29,22.39984489795918
3,40,19.066820408163263
3,50,25.30280612244898
3,60,20.611848979591837
3,71,8.76310612244898
3,82,6.65397387755102
3,91,2.8928655102040812
3,97,1.0934213191489361
9,3,28.988191836734693
9,9,28.436
9,20,24.48925102040816
9,29,22.025738775510202
9,40,18.433393877551023
9,50,19.39445306122449
9,60,16.21551428571429
9,71,8.655534489795919
9,82,5.993363673469388
9,91,3.195764897959183
9,97,1.1920461489361702
20,3,24.56382653061225
20,9,24.126246938775513
20,20,24.579146938775512
20,29,21.97944081632653
20,40,18.615963265306124
20,50,15.655704081632651
20,60,12.192095918367347
20,71,8.51999612244898
20,82,5.512243061224489
20,91,2.626314285714286
20,97,0.9889176808510637
29,3,21.327465306122452
29,9,20.803936734693877
29,20,21.22788163265306
29,29,21.43467755102041
29,40,18.18787755102041
29,50,15.507297959183674
29,60,12.160112244897958
29,71,8.393859387755102
29,82,5.90125693877551
29,91,3.50006918367347
29,97,1.2011266739130435
40,3,18.237404081632654
40,9,18.131032653061226
40,20,18.06413673469388
40,29,17.465465306122447
40,40,17.922522448979592
40,50,14.994128571428574
40,60,12.201548979591836
40,71,8.438514489795917
40,82,5.694886326530613
40,91,3.1127383673469393
40,97,1.2662199130434784
50,3,15.496593877551021
50,9,15.254173469387753
50,20,15.45888163265306
50,29,15.098583673469388
50,40,13.63972857142857
50,50,12.513894897959185
50,60,9.784208367346938
50,71,7.347180408163264
50,82,5.050573265306123
50,91,2.6592044897959184
50,97,1.0794176458333333
60,3,11.939275510204082
60,9,11.84415306122449
60,20,11.826861224489797
60,29,11.978432653061226
60,40,11.695206122448978
60,50,10.87433469387755
60,60,8.918500612244896
60,71,6.925680612244897
60,82,5.0022271428571425
60,91,2.443244693877551
60,97,1.062204775
71,3,8.540320816326531
71,9,8.587909387755102
71,20,8.539947346938776
71,29,8.369983061224488
71,40,8.501143673469388
71,50,8.152597551020406
71,60,7.216106734693877
71,71,5.375169387755102
71,82,4.2416232653061225
71,91,2.2518820408163265
71,97,0.9708013720930234
82,3,5.47076612244898
82,9,5.454178979591837
82,20,5.443317755102041
82,29,5.45665081632653
82,40,5.331006734693878
82,50,5.066169795918367
82,60,4.774359387755102
82,71,4.185126326530613
82,82,2.974351020408163
82,91,2.084365306122449
82,97,1.2819698292682928
91,3,2.6149667346938776
91,9,2.609099387755102
91,20,2.605840612244898
91,29,2.564657346938776
91,40,2.6025099999999997
91,50,2.5900226530612245
91,60,2.3569932653061225
91,71,2.300462857142857
91,82,1.9001655102040815
91,91,1.5774156938775512
91,97,0.7816490000000003
97,3,0.9694736808510639
97,9,0.9693031276595743
97,20,0.9690438297872339
97,29,0.9592215106382979
97,40,0.9646170000000002
97,50,0.9378116
97,60,0.9583822173913044
97,71,0.9291393333333333
97,82,0.8690079285714286
97,91,0.7037126470588235
97,97,0.502085
