PERCENTAGE,WITH,THROUGHPUT
36,36,40.28423469387755
36,42,35.699406122448984
36,55,28.49878163265306
36,69,17.120761224489797
36,81,11.020626530612244
42,36,27.28134693877551
42,42,24.280653061224488
42,55,19.795012244897958
42,69,11.755755102040816
42,81,7.512542448979593
55,36,14.421883673469386
55,42,13.576497959183675
55,55,11.08993469387755
55,69,7.282872244897958
55,81,4.81292081632653
69,36,5.401255306122449
69,42,5.299282040816327
69,55,4.831482653061224
69,69,3.6741785714285715
69,81,2.659261836734694
81,36,1.6562785714285713
81,42,1.672104489795918
81,55,1.5940712244897959
81,69,1.3086051020408165
81,81,1.0615263265306123
