PERCENTAGE,WITH,THROUGHPUT
1,1,154.66955102040816
1,0.25,153.60917959183672
1,0.10,147.2114693877551
1,0.03,132.78310204081635
1,0.001,85.27678163265305
1,0.0002,140.07527918367347
0.25,1,44.93368367346938
0.25,0.25,45.34817959183674
0.25,0.10,44.47183469387755
0.25,0.03,41.81532244897959
0.25,0.001,34.263122448979594
0.25,0.0002,40.918784897959185
0.10,1,11.244691836734695
0.10,0.25,11.377153061224488
0.10,0.10,11.49198163265306
0.10,0.03,10.919320204081632
0.10,0.001,11.520430249999999
0.10,0.0002,10.857491399999999
0.03,1,2.5926677551020405
0.03,0.25,2.5578926530612245
0.03,0.10,2.546610816326531
0.03,0.03,2.5762842857142854
0.03,0.001,2.4790216326530614
0.03,0.0002,2.41157306122449
0.001,git1,0.0994643
0.001,0.25,0.15434694999999998
0.001,0.10,0.23910290909090906
0.001,0.03,0.2420391818181818
0.001,0.001,0.24129618181818177
0.001,0.0002,0.2288901111111111
0.0002,1,0.0548541
0.0002,0.25,0.0569312
0.0002,0.10,0.05584645
0.0002,0.03,0.05550665
0.0002,0.001,0.0554355
0.0002,0.0002,0.0561537
